ra,dec,x,y,z,mag
23.191843,13.161279,-0.299568,-0.772123,0.560433,7.554481
330.845927,-14.951783,0.405999,0.603627,-0.686148,7.554547
102.367019,12.088577,-0.232799,0.856953,-0.459821,7.554549
183.469885,-0.639037,0.247371,0.763602,-0.596423,7.554562
300.249658,-12.257233,0.214907,-0.928038,0.304238,7.555069
75.652556,49.530495,0.717975,0.186646,-0.670578,7.555195
157.141391,-6.303295,0.997892,0.061706,-0.020108,7.555300
12.282679,-69.126722,0.959963,-0.279883,-0.011683,7.555368
189.986582,74.420766,0.044557,0.557354,-0.829079,7.555391
20.143555,-49.563808,0.208718,0.734690,0.645497,7.555440
212.871325,-49.435184,0.490418,-0.463303,0.738133,7.555629
317.620210,15.252494,0.852648,0.281946,0.439884,7.555732
321.490583,-55.888262,0.394232,0.684306,0.613437,7.555756
124.136301,-46.059094,-0.021024,0.484227,-0.874690,7.555950
33.329633,-14.907576,0.234160,-0.655883,-0.717626,7.556007
333.148256,56.196593,0.929549,0.130458,-0.344846,7.556051
155.031679,-59.885036,0.450572,0.871507,0.193546,7.556099
107.049683,15.519932,-0.955251,-0.229248,0.186926,7.556204
267.782419,38.442576,-0.540098,-0.500179,0.676842,7.556255
293.530720,-22.104497,0.205366,0.972127,0.113106,7.556457
106.006418,8.249809,-0.266483,0.278661,0.922678,7.556523
107.718558,-2.557862,-0.515793,-0.655897,-0.551141,7.556759
273.238485,-47.768546,0.796745,-0.063937,0.600924,7.556785
326.295263,29.239388,-0.517452,0.237548,-0.822080,7.556923
286.932318,16.070478,0.467351,0.809829,-0.354627,7.556974
67.515366,32.511720,-0.013204,-0.457150,0.889291,7.557009
46.611966,34.113903,0.787418,-0.442440,0.429209,7.557077
207.552076,-74.197965,0.354389,0.074410,0.932133,7.557212
218.356103,6.284934,0.015413,-0.999880,0.001749,7.557213
144.894849,12.165979,0.854672,0.342940,-0.389779,7.557240
190.482631,-47.606130,0.358243,-0.810299,0.463765,7.557357
313.173717,-53.273655,-0.547497,0.826167,-0.133025,7.557414
249.949141,34.625383,-0.190898,0.979265,-0.067811,7.557708
59.228179,-49.758537,-0.782548,0.389743,0.485509,7.557853
102.292629,-0.452241,-0.170640,0.883136,-0.436982,7.557879
48.637176,-9.686919,0.055515,0.964241,0.259149,7.557922
222.925936,19.089210,-0.963579,0.123176,0.237367,7.558058
100.714530,16.140327,-0.892723,-0.165738,-0.419019,7.558549
